model_name,source_url,target_url,recommended_action,notes
organization,https://github.com/sagemath,https://github.com/sagemath,map,
repository,https://github.com/sagemath/sage,https://github.com/sagemath/sage,rename,
user,https://github.com/25shriya,https://github.com/25shriya,map,
user,https://github.com/8d1h,https://github.com/8d1h,map,
user,https://github.com/927589452,https://github.com/927589452,map,
user,https://github.com/Aaron-Dwyer,https://github.com/Aaron-Dwyer,map,
user,https://github.com/AdrienPoteaux,https://github.com/AdrienPoteaux,map,
user,https://github.com/Adurand8,https://github.com/Adurand8,map,
user,https://github.com/AndrewAtLarge,https://github.com/AndrewAtLarge,map,
user,https://github.com/AndrewLyasoff,https://github.com/AndrewLyasoff,map,
user,https://github.com/AntGeorge,https://github.com/AntGeorge,map,
user,https://github.com/ArchitWagle,https://github.com/ArchitWagle,map,
user,https://github.com/Arnabds,https://github.com/Arnabds,map,
user,https://github.com/AurelPage,https://github.com/AurelPage,map,
user,https://github.com/BarinderBanwait,https://github.com/BarinderBanwait,map,
user,https://github.com/Bhatt21,https://github.com/Bhatt21,map,
user,https://github.com/BrentBaccala,https://github.com/BrentBaccala,map,
user,https://github.com/BruceWestbury,https://github.com/BruceWestbury,map,
user,https://github.com/Bruno-TT,https://github.com/Bruno-TT,map,
user,https://github.com/ChamanAgrawal,https://github.com/ChamanAgrawal,map,
user,https://github.com/ChrisJefferson,https://github.com/ChrisJefferson,map,
user,https://github.com/ChukwuemezieChristopherAneke,https://github.com/ChukwuemezieChristopherAneke,map,
user,https://github.com/ClementPernet,https://github.com/ClementPernet,map,
user,https://github.com/CryptoPunk,https://github.com/CryptoPunk,map,
user,https://github.com/DRKWang,https://github.com/DRKWang,map,
user,https://github.com/DanGrayson,https://github.com/DanGrayson,map,
user,https://github.com/DanielTamayo22,https://github.com/DanielTamayo22,map,
user,https://github.com/DanielTamayo22,https://github.com/DanielTamayo22,map,
user,https://github.com/Darylgolden,https://github.com/Darylgolden,map,
user,https://github.com/DaveWitteMorris,https://github.com/DaveWitteMorris,map,
user,https://github.com/David-Berghaus,https://github.com/David-Berghaus,map,
user,https://github.com/DavidAyotte,https://github.com/DavidAyotte,map,
user,https://github.com/DeRhamSource,https://github.com/DeRhamSource,map,
user,https://github.com/DennisJahn,https://github.com/DennisJahn,map,
user,https://github.com/DennisYurichev,https://github.com/DennisYurichev,map,
user,https://github.com/Diarmund33,https://github.com/Diarmund33,map,
user,https://github.com/DisneyHogg,https://github.com/DisneyHogg,map,
user,https://github.com/DoctorDalek1963,https://github.com/DoctorDalek1963,map,
user,https://github.com/DrXyzzy,https://github.com/DrXyzzy,map,
user,https://github.com/EBanaian,https://github.com/EBanaian,map,
user,https://github.com/Eloitor,https://github.com/Eloitor,map,
user,https://github.com/EmmanuelCharpentier,https://github.com/EmmanuelCharpentier,map,
user,https://github.com/EmmanuelJeanBriand,https://github.com/EmmanuelJeanBriand,map,
user,https://github.com/EnderWannabe,https://github.com/EnderWannabe,map,
user,https://github.com/Fightlapa,https://github.com/Fightlapa,map,
user,https://github.com/FlorentinJ,https://github.com/FlorentinJ,map,
user,https://github.com/Florianjw,https://github.com/Florianjw,map,
user,https://github.com/Freax13,https://github.com/Freax13,map,
user,https://github.com/GMS103,https://github.com/GMS103,map,
user,https://github.com/Gauraviitkgp,https://github.com/Gauraviitkgp,map,
user,https://github.com/HTalbott,https://github.com/HTalbott,map,
user,https://github.com/Hrishabh-yadav,https://github.com/Hrishabh-yadav,map,
user,https://github.com/Ilia-Smilga,https://github.com/Ilia-Smilga,map,
user,https://github.com/IloveJesusmyKing,https://github.com/IloveJesusmyKing,map,
user,https://github.com/Ishaanjolly,https://github.com/Ishaanjolly,map,
user,https://github.com/IvaKom,https://github.com/IvaKom,map,
user,https://github.com/IvanaGyro,https://github.com/IvanaGyro,map,
user,https://github.com/Ivo-Maffei,https://github.com/Ivo-Maffei,map,
user,https://github.com/JCGoran,https://github.com/JCGoran,map,
user,https://github.com/JRSijsling,https://github.com/JRSijsling,map,
user,https://github.com/JaTaSn,https://github.com/JaTaSn,map,
user,https://github.com/Jack-Kemp,https://github.com/Jack-Kemp,map,
user,https://github.com/Jaulers,https://github.com/Jaulers,map,
user,https://github.com/JeremyMarrez,https://github.com/JeremyMarrez,map,
user,https://github.com/JhaPrajjwal,https://github.com/JhaPrajjwal,map,
